,0
708,С февраля 2021 года являюсь премиальным клиентом этого банка
709,Вчера положил всю зарплату на накопительный счет
710,"Оказался вынужденным беженцем из ВТБ в Альфа-Банк, который фактически заморозил мои активы из-за собственной же ошибки в анкетных данных"
711,Здравствуйте! Я 19.09.2021 обратилась в Домклик для оформления заявления на внесение материнского капитала на ипотеку
712,Добрый день! 02.02.2022 г
713,"Давно пользуюсь картой Халва, храню свои деньги на карте под процент"
714,"Заказала   кредитную   историю, и  что  вижу?!  07.08.2020  года  я обратилась  к ним за  кредитом  в сумме  8397  руб., и в этот же день  07.08.2020 за суммой  6  291 руб"
715,"Ипотека с Абсолют Банк с 19года, до июня этого года не было никаких проблем"
716,"Начну с того, что являюсь премиальным клиентом банка с 2019 года"
717,"В банке оказывается есть серьезные технические пробелы  и,  в случае возникновения проблемы,  банк постарается перевести ее на клиента"
718,За участие в переписи населения я получила промокод на подписку СберПрайм за 1 руб
719,"21 век на дворе, а элементарную бумажку не могут выслать на электронную почту"
720,Необходимо было сделать валютный перевод из США в на свой счет в Ситибанк
721,Сотрудники ВТБ банка уже несколько недель звонят с нескольких номеров и настойчиво предлагают мне кредит
722,Добрый день! Я являюсь премиальным клиентом Райффайзенбанк продолжительное время и всем был доволен до недавнего времени
723,Надоели своими звонками с номера 900
724,"Добрый день, через программу MIR PAY v.1.8.17.24 не регистрирует карту МИР"
725,Являюсь созаемщиком
726,Недавно мне потребовалась кредитка с длительным беспроцентным периодом 3-4 месяца
727,Через приложение в смартфоне пытался сделать перевод по номеру телефона с виртуальной карты
728,"Хочу поблагодарить банк Тинькофф за своевременное решение вопросов и проблем, возникших у меня"
729,"Добрый день! Неделю бегала по офисам ВТБ, пыталась возобновить доступ в личный кабинет ВТБ онлайн, горячая линия отправляла в офис, а сотрудники офиса на горячую линию"
730,Давно с таким не встречался
731,"Столкнулась с тем , что мне приостановили операции по дебетовой карте , в связи с вопросом у банка по моим зачислениям и переводам"
732,Летом мне сын посоветовал открыть карту в Тинькофф банке
733,Обманщики
734,"Сначала легло мобильное приложение на айос, тпа пользуйтесь интернет банком, ок, неудобно жутко, терпеим.Теперь лёг сам интернет банк ""что-то пошло не так""В КЦ дозвониться невозможно, после 10 минут ожидания в трубке глухая тишина, даже прдолжение..."
735,Вот и и пришло моё время оставить отзыв о банке Хоум Кредит
736,"Одновременно с плохим отзывом, который обязателен к прочтению по ссылке в конце текста, хочу оставить хороший отзыв о Сбербанке, для справедливости и баланса"
737,Пролопушил условия по карте - по договору перевод с комиссией
738,"7 марта в личном кабинете, я с конвертировал сумму рублей в доллары по курсу тинькофф 138 рублей за доллар, что бы потом их соответственно снять, мало того что банкомат не выдал мне эти деньги 9 марта хотя доллары были в банкомате, с 9 по 13 я..."
739,16 сентября 2021 г
740,"Здравствуйте , помогите решить проблему ! Он не звонит клиентам, а занимается решением вопросом если сделка затягивается или банк не может решить вопрос"
741,"Являюсь клиентом банка уже с апреля 2019 года,  за это время было множество обращений в мобильном чате по различным вопросам, всегда отвечают быстро, всегда стараются помочь, решить проблему"
742,"договор пользования индивидуальным банковским сейфом был расторгнут, ИБС и клиентские ключи возвращены 3 марта 2022,  до окончания срока аренды ячейки  (9.3.2022), для возврата залога за ключ под диктовку сотрудника офиса банка, оформлявшего..."
743,11.09 заполнил заявку на сайте для оформления дебетовой карты
744,"Всем привет! Честно, я очень люблю этот банк, в последние месяца любовь проходила, сами знаете, что условия стали хуже, поддержка стала мягко говоря не очень"
745,"Заголовок такой, потому что я считаю, что мне банк передумал выдавать мне свою карту, которую они рекламируют.."
746,Повелись на рекламу подключения к ОЗОНУ
747,"12.09.2021 двумя разными суммами произошло списание средств в счет погашения задолженности по карте Халва, несмотря на наличие всей необходимой суммы на карте"
748,Просто УЖАС...
749,Пользуюсь услугами банка с 2015 года
750,"Написанное ниже первоначально было комментарием к отзыву awpolkut, но комментарий не прикрепился, решил разместить в виде отдельного отзыва"
751,"Более десяти лет я был постоянный клиент банка Санкт-Петербург,в основном открывал вклады"
752,"Целый день возникали проблемы с получением одноразовых кодов от банка при оплате (3D serure); К вечеру когда нужно было пополнить карту, оказалось что сделать это просто невозможно удаленно"
753,"Начал обслуживаться какое-то время назад в этом офисе, впечатления положительные: посетителей мало, сотрудники доброжелательны и готовы помочь"
754,"Самый ужасный банк, что может быть"
755,"Оформила карту мир Тинькофф, купила билет на s7  так как покупаю билет первый раз должен вернуться бонус ( это написали в онлайн чате Тинькофф В итоге : каждый день пишут что разбираются с моим вопросом, и каждый раз какие то новые..."
756,Банк втихую  закрыл обращение от 09.10.2021г
757,"Год назад меня убедили оформить подписку Сберпрайм по акции за 990 рублей , убедив меня , что это выгодно, много приложений и музыка и фильмы и хранилище"
758,"1 событие - пятница, 22 октября 2021 года в 12,10 МСК, 2 событие - вторник, 26 октября 2021 года в 16,46 МСК, 3 событие - суббота, 30 октября 2021 года в 15,36 МСК"
759,"Сегодня 24,11,2021 г"
760,Хочу поделиться мнением о Бланк банке
761,Добрый день! Обратилась 16 апреля в банк для закрытия своих счетов
762,"При продаже автомобиля, выяснилось что мой автомобиль 1,5 года находится в залоге банка Сетелем"
763,На мой взгляд у Сбера самая ужасная служба поддержки клиентов
764,В конце октября с номера 900 мне стали приходить ежедневные смс следующего содержания: «…с 29.09.21 по 08.10.21 мы отменяем комиссию за снятие наличных в любых банкоматах по вашей кредитной карте СберБанка! Подробнее: https://sberbank.ru/t/cashfree...
765,Обожаю этот банк
766,"Оформил ипотеку в Сбербанке в октябре 2020 года без каких либо проблем, остался доволен"
767,Всем привет! Отзыв будет относительно краткий
768,Давно обслуживалась в Тинькофф и все устраивало рекомендовала всем друзьям и близким как лучший банк! месяц назад столкнулась с проблемой
769,"Здравствуйте ! Получила очень обстоятельный , правильный и быстрый ответ о снятии средств с карты "
770,"Похоже мой номер кто то оставил , как контактный"
771,"Благодарю Ангелину, сотрудницу Модульбанка!  Очень добросовестно и терпеливо помогла в решении моей проблемы"
772,Добрый день! Я активно пользуюсь картой Халва Совкомбанка
773,"Очень редко обращаюсь в отделение Россельхозбанка, так как пользуюсь банковской картой и приложением"
774,"В связи с тем, что я забыл отключить подписку СберПрайм+ 9 июня 2022 года я в тот же момент написал в онлайн чат о желании вернуть средства и отказаться от подписки"
775,Обращалась в банк по многим вопросам по продуктам банка
776,Тинькофф меня реально кинул
777,"Являюсь клиентом банка Тинькофф уже довольно давно, но лишь в 2020 году, с моим приходом в Тинькофф.Инвестиции, мне потребовался премиум- тариф, который здесь удобно распространяется и на брокерское и на банковское обслуживание"
778,"Добрый день, сегодня мы посетили МКБ банк на Алтуфьевском"
779,По своей невнимательности не отключила подписку после льготного периода
780,"10.01 было подано заявление на налоговый вычет, с этого момента со мной никто не свзялся, хотя ваши доблестные операторы говорят что направили запрос налоговому консультанту чтобы мне перезвонили, и каждый день одно и тоже !!! Что у Вас за..."
781,Сначала нельзя было онлайн из-за отсутствия места рождения
782,"У меня сложилась сложная ситуация, надо было быстрее продать автомобиль но он был взят в кредит в банке"
783,"22.12.2021 я получила дебетовую карту Росбанка, в этот же день решила её пополнить через банкомат (рассчитывала купить продукты и подарки к новому году и получить кэшбэк), находящийся ко мне ближе всего, таблички, или сообщения на экране..."
784,По некоторым причинам потребовалось потребовалось поменять контактный номер телефона(мобильный оператор старого номера очень плохо работает в квартире)
785,"Попытался перевести на свой счет в другом банке (киви банк) 15000руб , что ранее не раз производил уже несколько раз за год"
786,Пока еще пользуюсь услугами Тинькоффа почти 5 лет
787,Тинькофф - банк качественного обслуживания
788,"У меня в банке есть ДК, периодически брала кредитные продукты, проблем никогда не было, иногда поступают предложения, все это вижу в личном кабинете"
789,"Я, П-а София, посетила отделение 1 го числа, по вопросу консультации, касаемо пополнения счета"
790,Работа операторов и самого сайта отвратительная Заказала карту
791,"Просьба не употреблять мои ФИО и другие персональные данные в ответе и последующей переписке, даже если меня удастся идентифицировать"
792,На 9 марта была заказана выдача наличных евро со счета в отделении АльфаБанка на ул
793,Здравствуйте! Являюсь зарплатных клиентом Альфы
794,"Премиальный клиент, зп 2 раза в неделю приходит банковским переводом"
795,"Что мне снег,  Что мне зной, Что мне дождик проливной, Когда мой Банк ""Тинькофф"" со мной...!        Этим девизом мне хочется обозначить сегодняшнее отношение к банку ""Тинькофф"""
796,Ужасный банк
797,Я звонила на горячую линию Альфа-банка с целью оставить жалобу на незаконную передачу банком моих персональных данных без моего разрешения третьим лицам и разглашение информации о моих персональных контактах и в дальнейшем звонки представителей...
798,Обратился в банк заказным письмом с заявлением о взыскании задолженности и оригиналом судебного приказа выданным судебным участком номер 336 дмитровского района г
799,"Сделала через Сбол в мегамаркете несколько заказов с кэшбеком.заказы доставлены, хоть и с опозданием, есть брак в товаре, но ладно, это все решаемо"
800,"Это мой первый негативный отзыв в сети, пишу его 21.10.2021"
801,"Это какой-то дурдом, а не ответы на обращение клиентов"
802,"Внимательное и ,главное, быстрое и квалифицированное рассмотрение моей проблемы"
803,"Имею зарплатную карту в МТС Банке , и каждый месяц , когда происходит зачисление - в Банке происходят вечные сбои , ну да ладно , всякое бывает , но тут уже перешли все границы "
804,Уважаемые господа! В августе мне исполнилось 45 лет и я получил новый паспорт
805,Я получил промокод сберпрайм который действует 1 год
806,11 мая в 10-41 через информационно-справочный центр записался на получение денег с заканчивающегося вклада на 17.05.22
807,Безобразное отношение к персонального менеджера к клиентам банка
808,16.09.2021 оформил кредит
809,Держателем карты Халва являюсь уже несколько лет и банк менять не собираюсь
810,Являюсь клиентом банка уже много много лет
811,"Не начислили кешбек за март, ну я подумал сбой какой то, как был в прошлом году"
812,"К сожалению, учитывая онлайн формат взаимодействия с банком, вы(граждане) должны понимать, что документально и с таймингом подтвердить наши и банка слова и действия  для третьих лиц не представляется возможным"
813,Являюсь клиентом банка уже более 5 лет
814,"Хотел перевести пенсию в ВТБ через интернет, через сайт банка"
815,В июне 2022 года мои друзья (2 человека) оформили дебетовые карты «Можно все» по ссылке друга
816,Являюсь индивидуальным предпринимателем с достаточно специфичной сферой деятельности - ритуальные услуги
817,Здравствуйте по моему мнению Совкомбанк самый лучший банк в России по обслуживанию клиентов и кредитной карты Халва очень выгодно использовать
818,"Ужасный банк, доставка карты почти 2 недели.."
819,Здравствуйте уважаемый банк Тинькофф!Между мной и Вами был заключён кредитный договор ( кредитная карта) номер 0*********84 на сумму 60 000
820,"Я клиент банка Тинькофф уже лет 10, начинал с кредитной карты, потом перешёл на расчётную, всем был доволен, качество сервисов постоянно улучшалось"
821,"Здравствуйте! 17 декабря 2021 общался в чате с Натальей по поводу общения с роботом (голосовой ""помощник""), так сбербанк утверждает, что причина не возможности получения консультаций от робота, что у нас, у клиентов,  ПСИХОЛОГИЧЕСКАЯ ПРОБЛЕМА с..."
822,Нужно было получить логин/пароль для Личного кабинета
823,"Заказала дебетовую карту ! Выбрала время ! С 10-14 , пришло смс , что карта будет доставлена ! Отменила все , осталась дома ! Прождала неизвестно чего !!!!! Карту не привезли , не позвонили! Простите , это что за сервис ? Это что за неуважительное..."
824,Я клиентка банка уже более одного года и рада быть в его экосистеме
825,"В прошлом месяце оплачивал услуги ЖКХ в Санкт-Петербурге через кошелек Юмани, платеж в пользу ООО ""ЖКС А**** Р****"""
826,"Тотальная некомпетенция на всех уровнях сотрудников, что в отделениях, что в колл центре"
827,"У меня есть карта Альфа банка 1 год без процентов,все покупки я совершала в первые 30 дней"
828,"Главный плюс Банка ""Тинькофф"", это оперативность во всем, решение любого вопроса без визита в банк и часовых споров с бесполезными сапортами других банков(Не буду писать конкретных банков - почти все)"
829,"Взял кредит в Совкомбанке с акцией ""Все под 0"" Условия акции выполнял каждый месяц за исключением января"
830,"25.07.2022 в 20:05, пытался внести наличные через банкомат , номер: 60019249, на свою дебетовую карту"
831,2го марта заказал снятие денег с валютного счета в отделение на Осеннем Бульваре
832,"В январе были рефералы, которые оформили по моей ссылке карту, выполнили все условия"
833,"7.06.2022 воспользовалась услугой меняю дату платежа, предварительно проконсультировавшись с оператором чата по датам, платеж был 25.06, хотела чтобы был 10.06, оператор озвучила все условия, кроме интервала - +15 дней, данный интервал был озвучен..."
834,"С февраля (ПОЛГОДА) нет доступа в онлайн-банк через веб из-за рубежа — сотрудникам озвучивалась проблема через ситикол и в чате, ничего не исправлено, невозможно воспользоваться акциями, предложениями, собственным кешбеком, скачать документы..."
835,Пару месяцев назад поступило предложение оформить карту Тинькофф Блек
836,"Пользуюсь картой долгое время, часто возникают  вопросы, поэтому всегда обращаюсь в чат"
837,"То есть в Сбере, в Тинькове такая функция смены номера есть, она встроена в приложение и работает"
838,"Добрый день! 13 октября 2021 я открыла приложение Тинькофф банка и увидела рекламный баннер, в котором обещали при оформлении полиса ОСАГО вернуть кэшбэком 30% от его стоимости"
839,"Впервые был в этом офисе, но не впервые работал с этим менеджером"
840,Я пользуюсь (точнее скоро перестану пользоваться) дебетовой зарплатной картой данного банка
841,"Ко мне за помощью обратился друг, которому на телефон вдруг пришла SMS, что ""Карта * доставлена в офис ""ДО ""ТВЕРСКОЙ"" АО ""СМП Банк"""""
842,Долгое время пользовалась зарплатной картой банка
843,Месяц назад 21 ОКТЯБРЯ заблокировали счёт без объяснения причины
844,После значительного ухудшения условий по картам и счетам с 01.04 через приложение и личный кабинет не доступны даже внутренние переводы со счетов на карту банка
845,"Очень Удивлен, что поддержка в приложении может не только отвечать по рабочим задачам и проблемам"
846,"1 августа 22г в мобильном банке выскочило сообщение что нужно обьяснить некоторые операции за последнии 3 месяца прихода - расхода на карту тинькофф black я скинул договора,выписки,скрины которые они требовали"
847,"Являюсь клиентом банка Тинькофф более  5 лет, качество оказываемых услуг растет с  каждым годом"
848,"Уже более 5 лет работаю с данным банком и все было хорошо, а тут мне позвонили из банка и сказали, что я якобы поручил им закрыть свой накопительный счет, и перевели все деньги с него на карту, но никаких заявок на закрытие накопительного счета я..."
849,"Не рекомендую этот банк никому, кто бережет свои деньги и ценит честность"
850,Я являюсь постоянным клиентом ПАО Росбанк с 2010 г
851,Хотелось бы выразить благодарность сотруднику г
852,"Здравствуйте! Начну с того, что хочу предостеречь всех людей, кто хотел бы оформить потреб.кредит в СОВКОМБАНКе"
853,Добрый день уважемый представитель банка
854,Каждый день мне звонят по 10-15 раз из этого банка и ищут какую то женщину
855,"Добрый день, 10"
856,"Имею вклад в банке, но не имею возможности войти в личный кабинет не через мобильное приложение на смартфоне, не через сайт"
857,5.11.21 оставил на сайте 2 заявки - на получение кредитной карты и дебетовой
858,Пользуюсь кредитной и дебетовой картами банка
859,"Пользуюсь банком уже 2 года, очень нравятся условия обслуживания (доступность, прозрачность)"
860,"Давно пользуюсь Альфой, многое нравилось, что-то чуть напрягало, но сейчас уже ситуации, которые происходят при пользовании банком, доводят до белого каления… по порядку: 1) программа «приведи друга» не работает от слова совсем"
861,"Здравствуйте, это не первый мой отзыв в адрес Тинькофф"
862,Для поступления на службу мне необходимо было получить некоторые справки для предоставления их в комиссию
863,Накипело
864,Полтора месяца не могу добиться от банка возможности отправить декларацию ИП на УСН
865,В далеком 2012 году друг посоветовал вклад в этом банке
866,"Сегодня 3го сентября у меня была назначена встреча с сотрудником банка, но так как в системе банка почему то указывается мой адрес некорректно, сразу не получилось встретится с сотрудником банка"
867,С 03 марта 2022 года не можем получить небольшую сумму с вклада в долларах
868,Брал кредит с опцией возврат процентов
869,"Добрый день! 18.07.2022 оформил дебетовую карту по ссылке друга в рамках программы ""500р после первой покупки с бесплатной Альфа-Картой"""
870,"Если 15, и даже 10 лет назад, это был честный, надежный и клиентоориентированный банк, то сейчас он напоминает мелкого обманщика, таскающего медные пятаки у прохожих"
871,Не пришла в этом месяце смс о выполненном условии бесплатного обслуживания по тарифу максимум
872,"Хоум Кредит банк сегодня приятно удивил, так что я даже решил написать отзыв - благодарность, и посоветовать банку двигаться в том же направлении"
873,Не рекомендую пользоваться сервисом Тинькофф Путешествия.В текущей нестабильной обстановке хотела улететь из г
874,"Сколько раз не обращалась с вопросами, проблемами к операторам, отвечают всегда быстро и решают проблемы моментально, специалисты своего дела! Ни в одном другом банке не получала такого сервиса, спасибо! Всем рекомендую пользоваться  услугами..."
875,В связи с заменой паспорта вносил изменения в личных данных своего профиля в Л.К
876,Добрый день! Произошла ошибка в НБКИ
877,"Увидел пропущенный звонок с номера 900, а поскольку в банке рассматривается моё обращение"
878,Обратился с вопросом в Альфа банк о срочном закрытии кредитной карты
879,Альфа-банк самый лживый и непостоянный в своих предложениях и акциях банк
880,"После переноса моего брокерского счёта в Альфу, мне пришлось открыть у них счёт"
881,"Начну с того, что я являюсь премиальным клиентом банка Открытие"
882,"25.05.22 Написал в чат поддержки с просьбой отключить Премиум-пакет, на что получил сначала ответ, что необходимо уточнить номер телефона (хотя писал в чат из личного кабинета), потом уточнили причину, почему хочу отключить пакет, после чего..."
883,"Здравствуйте , хочу выразить свое глубочайшее недовольство и возмущение работой Банка Ренессанс "
884,"Хочу оставить «хороший»отзыв о банке, клиентом которого я являюсь с 2008 года"
885,Никогда не являлся клиентом данного банка и никогда не считал его достойным банком
886,Заказал кредитную карту 100 дней без процентов
887,"Сразу хочу сказать, что являюсь корпоративным клиентом Альфа-Банка и в этой части у меня вопросов нет, но как к физическому лицу подход просто ужасает"
888,"Сколько времени занимает подключение Интернет-банка (Мобильного банка), он же ""ДБО"""
889,"Был нормальный банк, с удовольствием выбрал в качестве банка для получения пенсии"
890,Подал заявку на реструктуризацию по кредиту полученному в 2019 году
891,11 .03 обратилась в коллцентр банка с заявкой набзаказ получения денежных средств с долларового депозитарий который закончился 18.03
892,"В приложении ""Спасибо Сбербанк"" я заинтересовался акцией: с 22.11.21 по 22.12.21 соверши покупки на АЗС по карте мастеркард от Сбера и верни сумму покупки бонусами! Не буду подробно описывать условия, (есть скриншоты условий акции и скриншоты..."
893,Хочу поделиться своим мнением о банке УБРиР
894,здравствуйте всем
895,Положил 1800 долларов на карту
896,"Я вообще очень отрицательно отношусь к банкам, но в наше время без онлайн покупок и переводов денежных средств просто никуда"
897,"Здравствуйте, прошу помощи в доставке посылок Сберлогистикой"
898,Банк ОТП - вымотаны все нервы 24.06.2022 - на сайте магазина М.Видео подала заявку на покупку стиральной машины в кредит
899,С 24.06.2022г
900,"29.01.2022 взял в банке кредит на рефинансирование кредитов в других банках, и погасил их в течении четырёх дней! Через три месяца подняли процентную ставку по кредиту , на вопрос с чем связано ответили что не предоставил справки о погошении..."
901,"Сегодня заблокировали мою цифровую карту, я позвонил в кол"
902,"Добрый день! Хочу оставить негативный отзыв о банке, который не дорожит своими клиентами и не идет им навстречу! Альфа-Банк! Пользовалась кредитной картой данного банка, просрочек никогда не было, полностью задолженность была погашена..."
903,"9 октября 2022г., я снимала деньги с карты Газпромбанка в Турции в банкомате, банкомат ни деньги ни чек не выдал"
904,Очень хамское поведение консультантка
905,"22.03.2022 я позвонил в контакт центр банка Тинькоф с целью уточнить могу ли я через приложение банка купить доллары и снять их в банкомате, на что оператор подтвердила мне данную возможность"
906,"Несколько лет пользуюсь Халвой, проблем никогда не было, вплоть до сентября 2022 года"
907,"Я  являюсь клиентом банка тинькофф и хочу выразить благодарность за отличную работу сотрудников банка и его преимущества для клиентов перед другими банками: удобное мобильное приложение, переводы и оплата в 1 клик, много полезной информации в..."
908,Являюсь клиентом банка с 2016 г
909,"Оценки работы сотрудников Росбанка,которые увидела на данном сайте, естественно, в большей мере критичные, т.к"
910,Худшей поддержки я ещё не встречал
911,"Добрый день! Хочу рассказать об ужасном отношении к клиенту, это неприемлемо для банка таких масштабов (( 16.12.21 г я получил дебет"
912,"Заказала премиум карту в этом банке, встреча с представителем была назначена с 18 до 20"
913,Как развидеть и раслышать банк? Более двух лет назад отказался от услуг банка
914,"Сбермегамаркет - обманывают своих клиентов! Повелась на название маркета, которое начинается со слова Сбер и ничего не подозревая сделала свой первый и последний заказ на данной площадке! Итак продолжим: 18 сентября 2021 года я сделала заказ..."
915,Банк ВТБ перевёл все мои акции в Альфа инвестиции
916,01 ноября посетила отделение Росбанка на Московском проспекте около 13.00 часов с проблемой оплаты кредита банка партнера РН БАНК
917,31 августа у меня закончился вклад
918,Примерно 20.10 обратился в отделение банка г.Тюмень ул.Воровсеого 2 
919,"В приложении появилось предложение на кредитную карту, 22.06.2022 я им воспользовался, назначив доставку на 23.06.2022"
920,Хочу поблагодарить службу поддержки Газпромбанка в решении моего вопроса
921,Добрый день! 28 февраля 2022 года поступила смс об отключении пакета нотификаций «Карты+»
922,"Я уже достаточно давно - работающий пенсионер, но веду активный образ жизни и пользуюсь многими благами современной цивилизации и банковские карты - не исключение"
923,"Я являюсь клиентом банка с 2008 года, как физлицо и как юрлицо"
924,"Хочу поблагодарить работников Банка за быстрые консультации,а также удобное приложение.Пользовалась несколько раз чатом,ГорячейЛинией -везде быстро и квалифицированно.С помощью менеджеров освоила Кредитную Карту - оказалось крайне удобно,также..."
925,Сегодня столкнулась с невозможностью сделать перевод через приложение (мобильный банк)
926,"Промсвязьбанк смысл от открытия офиса в СПб, г.Колпино без кассы!!!!! Валюту снять невозможно"
927,"В январе 2021 муж покупал авиа через Тинькофф, случайно взял билеты не на те даты, позвонил и через 10 минут помогли изменить даты в билетах , просто самый лучший банк Так же если поступает кэшбэк не по той категории,чаще всего можно обратиться..."
928,Открывал ИП и стоял выбор банка
929,08 июня 2022г
930,"17.10.22 я не смогла самостоятельно выгрузить в интернет-банке квитанции о переводе в адрес ЮЛ, 'произошла ошибка'"
931,Вот такой казус произошел со мной в ночь с 25 июля на 26 июля во взаимодействий с данным банком
932,В августе по моей реферальной ссылке Другом была открыта дебетовая карта и выполнены условия для получения вознаграждения
933,Решила оформить курсы в рассрочку
934,Приходили 08.07.2022года в Серпуховское отделение МКБ
935,"Не могу пользоваться дебетовой картой Польза- денежные средства на карте есть, но при оплате на терминале выходит сообщение - Amount over maximum, и, хотя сумма покупки совсем небольшая, операция по оплате картой не проходит"
936,Хотел перевести себе деньги из вашего банка через СБП - не дают
937,"Столкнулся с такой проблемой, что было ограничено дистанционное обслуживание, что меня мягко говоря сильно расстроило, но вроде как вопрос быстро решился отправкой моих документов"
938,"29.12.2021 обратился в отделение банка ""ВТБ"" для получения потребительского кредита по ранее направленному в личный кабинет ""ВТБ"" предложению"
939,"После закрытия кредита сотрудники, а скорее руководство банка проявили лояльность после того как мной была допущена просрочка платежа на несколько часов)) По окончанию, закрытию кредита, мне был положен возврат д/с, и после этой ""просрочки"" в..."
